artist,date,rank,streams,title
Lil Pump,2017-07-14,145,203724,Flex Like Ouu
Smokepurpp,2017-07-14,146,202382,Audi.
21 Savage,2017-07-14,147,201874,No Heart
Rae Sremmurd,2017-07-14,148,201358,Black Beatles
Logic,2017-07-14,149,199208,Everybody
Clean Bandit,2017-07-14,150,198245,Symphony (feat. Zara Larsson)
MadeinTYO,2017-07-14,151,197198,Skateboard P (feat. Big Sean)
Future,2017-07-14,152,197046,Extra Luv
Mike WiLL Made-It,2017-07-14,153,196841,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)"
The Weeknd,2017-07-14,154,196452,Reminder
Big Sean,2017-07-14,155,194962,Moves
21 Savage,2017-07-14,156,194200,FaceTime
NAV,2017-07-14,157,193172,Call Me
Bryson Tiller,2017-07-14,158,192897,Run Me Dry
NAV,2017-07-14,159,192629,Myself
Lady Gaga,2017-07-14,160,191315,The Cure
Gucci Mane,2017-07-14,161,190791,Both (feat. Drake)
A$AP Mob,2017-07-14,162,190770,RAF
Foster The People,2017-07-14,163,189887,Sit Next to Me
Tee Grizzley,2017-07-14,164,188440,From The D To The A (feat. Lil Yachty)
Bryson Tiller,2017-07-14,165,187063,Don't
21 Savage,2017-07-14,166,186968,Close My Eyes
Ed Sheeran,2017-07-14,167,186804,Galway Girl
Khalid,2017-07-14,168,186487,Saved
AJR,2017-07-14,169,186478,Weak
"Tyler, The Creator",2017-07-14,170,186042,911 / Mr. Lonely
2 Chainz,2017-07-14,171,185399,Good Drank
Eminem,2017-07-14,172,185205,'Till I Collapse
Alessia Cara,2017-07-14,173,184849,"How Far I'll Go - From ""Moana"""
LANY,2017-07-14,174,183279,Super Far
6LACK,2017-07-14,175,182763,Ex Calling
Echosmith,2017-07-14,176,182666,Goodbye
Bryson Tiller,2017-07-14,177,182616,Exchange
NAV,2017-07-14,178,181532,Some Way
Rihanna,2017-07-14,179,181452,Love On The Brain
PnB Rock,2017-07-14,180,181183,Selfish
Chris Jeday,2017-07-14,181,181075,Ahora Dice
Jon Pardi,2017-07-14,182,180949,Heartache On The Dance Floor
NAV,2017-07-14,183,180271,Up
Lord Huron,2017-07-14,184,179709,The Night We Met
Auli'i Cravalho,2017-07-14,185,178926,How Far I'll Go
Rob $tone,2017-07-14,186,178637,Chill Bill
Dylan Scott,2017-07-14,187,178524,My Girl
Trey Songz,2017-07-14,188,178439,Nobody Else But You
NexXthursday,2017-07-14,189,176873,Sway (feat. Quavo & Lil Yachty)
Shawn Hook,2017-07-14,190,175931,Reminding Me
Justin Timberlake,2017-07-14,191,174915,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
Loote,2017-07-14,192,173552,High Without Your Love
Kendrick Lamar,2017-07-14,193,172820,XXX. FEAT. U2.
Machine Gun Kelly,2017-07-14,194,170107,Trap Paris (feat. Quavo & Ty Dolla $ign)
Kygo,2017-07-14,195,169535,First Time
Old Dominion,2017-07-14,196,169462,No Such Thing as a Broken Heart
Martin Garrix,2017-07-14,197,168956,Scared to Be Lonely
Khalid,2017-07-14,198,168912,8TEEN
Florida Georgia Line,2017-07-14,199,168859,H.O.L.Y.
Twenty One Pilots,2017-07-14,200,167715,Heathens
Luis Fonsi,2017-07-15,1,1467399,Despacito - Remix
DJ Khaled,2017-07-15,2,1384524,Wild Thoughts
Lil Uzi Vert,2017-07-15,3,1345883,XO TOUR Llif3
French Montana,2017-07-15,4,1271444,Unforgettable
DJ Khaled,2017-07-15,5,1160254,I'm the One
Kendrick Lamar,2017-07-15,6,1110965,HUMBLE.
Selena Gomez,2017-07-15,7,1058237,Fetish (feat. Gucci Mane)
Post Malone,2017-07-15,8,941249,Congratulations
Calvin Harris,2017-07-15,9,807699,Feels
Childish Gambino,2017-07-15,10,793208,Redbone
Calvin Harris,2017-07-15,11,761189,Slide
Khalid,2017-07-15,12,755876,Location
Travis Scott,2017-07-15,13,747478,Butterfly Effect
Demi Lovato,2017-07-15,14,747360,Sorry Not Sorry
Kendrick Lamar,2017-07-15,15,738713,DNA.
Liam Payne,2017-07-15,16,713731,Strip That Down
David Guetta,2017-07-15,17,710581,2U (feat. Justin Bieber)
Playboi Carti,2017-07-15,18,705118,Magnolia
Sam Hunt,2017-07-15,19,693286,Body Like A Back Road
Charlie Puth,2017-07-15,20,687599,Attention
Future,2017-07-15,21,674568,Mask Off
Drake,2017-07-15,22,672322,Signs
Imagine Dragons,2017-07-15,23,662190,Believer
21 Savage,2017-07-15,24,639676,Bank Account
Logic,2017-07-15,25,635458,1-800-273-8255
J Balvin,2017-07-15,26,631518,Mi Gente
Travis Scott,2017-07-15,27,623235,goosebumps
Migos,2017-07-15,28,621108,Slippery (feat. Gucci Mane)
Bruno Mars,2017-07-15,29,595925,That's What I Like
Calvin Harris,2017-07-15,30,586670,Rollin
Selena Gomez,2017-07-15,31,561552,Bad Liar
A Boogie Wit da Hoodie,2017-07-15,32,550249,Drowning (feat. Kodak Black)
Imagine Dragons,2017-07-15,33,549220,Thunder
Niall Horan,2017-07-15,34,547535,Slow Hands
Halsey,2017-07-15,35,530775,Now Or Never
Ed Sheeran,2017-07-15,36,527584,Shape of You
Lauv,2017-07-15,37,521912,I Like Me Better
2 Chainz,2017-07-15,38,514603,4 AM
Shawn Mendes,2017-07-15,39,508281,There's Nothing Holdin' Me Back
Kendrick Lamar,2017-07-15,40,505698,LOVE. FEAT. ZACARI.
Zedd,2017-07-15,41,492377,Stay (with Alessia Cara)
Kesha,2017-07-15,42,490240,Praying
Drake,2017-07-15,43,483643,Passionfruit
2 Chainz,2017-07-15,44,481448,It's A Vibe
KYLE,2017-07-15,45,476879,iSpy (feat. Lil Yachty)
Khalid,2017-07-15,46,456650,Young Dumb & Broke
Metro Boomin,2017-07-15,47,449063,No Complaints
Kendrick Lamar,2017-07-15,48,431927,LOYALTY. FEAT. RIHANNA.
Camila Cabello,2017-07-15,49,410034,Crying in the Club
21 Savage,2017-07-15,50,402011,Numb
Luis Fonsi,2017-07-15,51,401565,Despacito (Featuring Daddy Yankee)
French Montana,2017-07-15,52,387197,A Lie
The Chainsmokers,2017-07-15,53,378582,Something Just Like This
Major Lazer,2017-07-15,54,350794,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)"
SZA,2017-07-15,55,349578,Love Galore
Kodak Black,2017-07-15,56,348802,Tunnel Vision
Martin Garrix,2017-07-15,57,347926,There for You
Playboi Carti,2017-07-15,58,342979,wokeuplikethis*
Big Sean,2017-07-15,59,337240,Bounce Back
Drake,2017-07-15,60,334713,Portland
Kygo,2017-07-15,61,326085,It Ain't Me (with Selena Gomez)
blackbear,2017-07-15,62,317841,do re mi
Migos,2017-07-15,63,317503,T-Shirt
The Chainsmokers,2017-07-15,64,317085,Closer
Migos,2017-07-15,65,317034,Bad and Boujee (feat. Lil Uzi Vert)
Julia Michaels,2017-07-15,66,314348,Issues
Rae Sremmurd,2017-07-15,67,311294,Swang
Hailee Steinfeld,2017-07-15,68,308380,Most Girls
Axwell /\ Ingrosso,2017-07-15,69,306934,More Than You Know
Jason Derulo,2017-07-15,70,306735,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
Fifth Harmony,2017-07-15,71,304773,Down
Miley Cyrus,2017-07-15,72,299254,Malibu
James Arthur,2017-07-15,73,297992,Say You Won't Let Go
Kendrick Lamar,2017-07-15,74,297704,ELEMENT.
Jonas Blue,2017-07-15,75,294488,Mama
Thomas Rhett,2017-07-15,76,293675,Craving You
Portugal. The Man,2017-07-15,77,292607,Feel It Still
Zedd,2017-07-15,78,292119,Get Low (with Liam Payne)
XXXTENTACION,2017-07-15,79,289679,Look At Me!
Maluma,2017-07-15,80,285559,Felices los 4
Gucci Mane,2017-07-15,81,280787,Met Gala (feat. Offset)
Drake,2017-07-15,82,279016,Fake Love
Lana Del Rey,2017-07-15,83,278975,Summer Bummer (feat. A$AP Rocky & Playboi Carti)
Ayo & Teo,2017-07-15,84,276238,Rolex
The Weeknd,2017-07-15,85,274070,Starboy
Tee Grizzley,2017-07-15,86,272614,First Day Out
DRAM,2017-07-15,87,268865,Broccoli (feat. Lil Yachty)
Dua Lipa,2017-07-15,88,267868,New Rules
Maggie Lindemann,2017-07-15,89,265870,Pretty Girl - Cheat Codes X CADE Remix
Rita Ora,2017-07-15,90,257282,Your Song
Chance The Rapper,2017-07-15,91,255955,No Problem (feat. Lil Wayne & 2 Chainz)
Drake,2017-07-15,92,252840,Gyalchester
Drake,2017-07-15,93,246430,One Dance
Cheat Codes,2017-07-15,94,245545,No Promises (feat. Demi Lovato)
Young Thug,2017-07-15,95,238859,pick up the phone
Post Malone,2017-07-15,96,238589,White Iverson
Aminé,2017-07-15,97,234773,Caroline
Lil Uzi Vert,2017-07-15,98,234242,Money Longer
Travis Scott,2017-07-15,99,234178,beibs in the trap
Luke Combs,2017-07-15,100,232820,Hurricane
21 Savage,2017-07-15,101,232254,X (feat. Future)
Yo Gotti,2017-07-15,102,228443,Rake It Up
YFN Lucci,2017-07-15,103,227860,Everyday We Lit (feat. PnB Rock)
Post Malone,2017-07-15,104,227454,Go Flex
Russ,2017-07-15,105,226950,Losin Control
Imagine Dragons,2017-07-15,106,224065,Whatever It Takes
Bruno Mars,2017-07-15,107,223062,24K Magic
ZAYN,2017-07-15,108,221807,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
J. Cole,2017-07-15,109,220884,Neighbors
Wisin,2017-07-15,110,219689,Escápate Conmigo
J. Cole,2017-07-15,111,217549,No Role Modelz
Dustin Lynch,2017-07-15,112,215906,Small Town Boy
6LACK,2017-07-15,113,215570,PRBLMS
Young Thug,2017-07-15,114,214347,Relationship (feat. Future)
Kesha,2017-07-15,115,213930,Woman
21 Savage,2017-07-15,116,212996,Bad Business
The Weeknd,2017-07-15,117,211497,I Feel It Coming
PnB Rock,2017-07-15,118,207591,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)"
Lil Uzi Vert,2017-07-15,119,207080,You Was Right
Harry Styles,2017-07-15,120,203511,Sign of the Times
21 Savage,2017-07-15,121,203280,Famous
Russ,2017-07-15,122,203190,What They Want
Big Sean,2017-07-15,123,202596,Jump Out The Window
The Chainsmokers,2017-07-15,124,202103,Paris
Post Malone,2017-07-15,125,201733,Candy Paint
Kane Brown,2017-07-15,126,200488,What Ifs
Smokepurpp,2017-07-15,127,198796,Audi.
Future,2017-07-15,128,197037,Low Life
The Chainsmokers,2017-07-15,129,196901,Don't Let Me Down
Brett Young,2017-07-15,130,196068,In Case You Didn't Know
Lorde,2017-07-15,131,194989,Homemade Dynamite
Rae Sremmurd,2017-07-15,132,194415,Black Beatles
French Montana,2017-07-15,133,192720,Bring Dem Things
Ed Sheeran,2017-07-15,134,192463,Castle on the Hill
Lil Pump,2017-07-15,135,192338,Flex Like Ouu
"Tyler, The Creator",2017-07-15,136,191035,Who Dat Boy
OneRepublic,2017-07-15,137,189746,No Vacancy
Gucci Mane,2017-07-15,138,188856,Both (feat. Drake)
Future,2017-07-15,139,188494,Selfish
Logic,2017-07-15,140,187881,Everybody
The Weeknd,2017-07-15,141,187815,Reminder
MadeinTYO,2017-07-15,142,187418,Skateboard P (feat. Big Sean)
Big Sean,2017-07-15,143,187327,Moves
Mike WiLL Made-It,2017-07-15,144,187307,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)"
Hailee Steinfeld,2017-07-15,145,186342,Starving
21 Savage,2017-07-15,146,186082,No Heart
Moon Taxi,2017-07-15,147,185375,Two High
Clean Bandit,2017-07-15,148,185100,Symphony (feat. Zara Larsson)
NAV,2017-07-15,149,183584,Myself
Tee Grizzley,2017-07-15,150,182590,From The D To The A (feat. Lil Yachty)
Coldplay,2017-07-15,151,182252,Miracles (Someone Special)
Future,2017-07-15,152,181953,Extra Luv
2 Chainz,2017-07-15,153,181821,Good Drank
Chris Jeday,2017-07-15,154,180624,Ahora Dice
Bryson Tiller,2017-07-15,155,180444,Run Me Dry
Ty Dolla $ign,2017-07-15,156,179926,Love U Better (feat. Lil Wayne & The-Dream)
Bryson Tiller,2017-07-15,157,179333,Don't
A$AP Mob,2017-07-15,158,178509,RAF
AJR,2017-07-15,159,176926,Weak
Rob $tone,2017-07-15,160,176917,Chill Bill
6LACK,2017-07-15,161,174980,Ex Calling
Justin Timberlake,2017-07-15,162,174598,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
Ed Sheeran,2017-07-15,163,174055,Galway Girl
Loote,2017-07-15,164,173504,High Without Your Love
Khalid,2017-07-15,165,173107,Saved
Bryson Tiller,2017-07-15,166,173013,Exchange
PnB Rock,2017-07-15,167,171904,Selfish
Dylan Scott,2017-07-15,168,171668,My Girl
NAV,2017-07-15,169,171600,Some Way
Jon Pardi,2017-07-15,170,171507,Heartache On The Dance Floor
Lady Gaga,2017-07-15,171,170345,The Cure
Rihanna,2017-07-15,172,170268,Love On The Brain
NAV,2017-07-15,173,170107,Up
Eminem,2017-07-15,174,169513,'Till I Collapse
Alessia Cara,2017-07-15,175,168828,"How Far I'll Go - From ""Moana"""
LANY,2017-07-15,176,168092,Super Far
Twenty One Pilots,2017-07-15,177,167492,Ride
21 Savage,2017-07-15,178,166882,FaceTime
Auli'i Cravalho,2017-07-15,179,166051,How Far I'll Go
Post Malone,2017-07-15,180,165705,Congratulations - Remix
Kendrick Lamar,2017-07-15,181,163586,XXX. FEAT. U2.
Desiigner,2017-07-15,182,163478,Panda
Florida Georgia Line,2017-07-15,183,162833,H.O.L.Y.
OneRepublic,2017-07-15,184,162814,Rich Love (with Seeb)
Trey Songz,2017-07-15,185,162779,Nobody Else But You
French Montana,2017-07-15,186,162342,Jump
Migos,2017-07-15,187,162276,Get Right Witcha
Twenty One Pilots,2017-07-15,188,161973,Heathens
Keith Urban,2017-07-15,189,161309,The Fighter
Danny Ocean,2017-07-15,190,161001,Me Rehúso
Gucci Mane,2017-07-15,191,160830,Tone it Down (feat. Chris Brown)
Machine Gun Kelly,2017-07-15,192,160407,Trap Paris (feat. Quavo & Ty Dolla $ign)
Lord Huron,2017-07-15,193,159837,The Night We Met
Khalid,2017-07-15,194,159716,8TEEN
21 Savage,2017-07-15,195,159267,Close My Eyes
Old Dominion,2017-07-15,196,159149,No Such Thing as a Broken Heart
Childish Gambino,2017-07-15,197,159032,V. 3005
Nebu Kiniza,2017-07-15,198,158010,Gassed Up
"Tyler, The Creator",2017-07-15,199,157868,911 / Mr. Lonely
Shawn Hook,2017-07-15,200,156182,Reminding Me
Luis Fonsi,2017-07-16,1,1313006,Despacito - Remix
DJ Khaled,2017-07-16,2,1243089,Wild Thoughts
Lil Uzi Vert,2017-07-16,3,1230583,XO TOUR Llif3
French Montana,2017-07-16,4,1167705,Unforgettable
DJ Khaled,2017-07-16,5,1053728,I'm the One
Kendrick Lamar,2017-07-16,6,1012675,HUMBLE.
Selena Gomez,2017-07-16,7,884028,Fetish (feat. Gucci Mane)
Post Malone,2017-07-16,8,865291,Congratulations
Childish Gambino,2017-07-16,9,727486,Redbone
Calvin Harris,2017-07-16,10,713231,Feels
Khalid,2017-07-16,11,705405,Location
Travis Scott,2017-07-16,12,685962,Butterfly Effect
Calvin Harris,2017-07-16,13,683698,Slide
Kendrick Lamar,2017-07-16,14,652746,DNA.
Liam Payne,2017-07-16,15,645675,Strip That Down
Playboi Carti,2017-07-16,16,641539,Magnolia
Sam Hunt,2017-07-16,17,638287,Body Like A Back Road
David Guetta,2017-07-16,18,633940,2U (feat. Justin Bieber)
Demi Lovato,2017-07-16,19,633932,Sorry Not Sorry
Charlie Puth,2017-07-16,20,632441,Attention
Future,2017-07-16,21,615118,Mask Off
Drake,2017-07-16,22,611221,Signs
Imagine Dragons,2017-07-16,23,600261,Believer
Logic,2017-07-16,24,592865,1-800-273-8255
Travis Scott,2017-07-16,25,582915,goosebumps
J Balvin,2017-07-16,26,576310,Mi Gente
21 Savage,2017-07-16,27,570286,Bank Account
Migos,2017-07-16,28,564346,Slippery (feat. Gucci Mane)
Bruno Mars,2017-07-16,29,537338,That's What I Like
Calvin Harris,2017-07-16,30,532265,Rollin
A Boogie Wit da Hoodie,2017-07-16,31,512399,Drowning (feat. Kodak Black)
Selena Gomez,2017-07-16,32,507752,Bad Liar
Niall Horan,2017-07-16,33,500255,Slow Hands
Imagine Dragons,2017-07-16,34,492661,Thunder
Halsey,2017-07-16,35,480412,Now Or Never
Ed Sheeran,2017-07-16,36,473650,Shape of You
Kendrick Lamar,2017-07-16,37,469511,LOVE. FEAT. ZACARI.
Shawn Mendes,2017-07-16,38,467727,There's Nothing Holdin' Me Back
2 Chainz,2017-07-16,39,458582,4 AM
Lauv,2017-07-16,40,454977,I Like Me Better
Kesha,2017-07-16,41,454599,Praying
Zedd,2017-07-16,42,449567,Stay (with Alessia Cara)
KYLE,2017-07-16,43,442498,iSpy (feat. Lil Yachty)
Drake,2017-07-16,44,441603,Passionfruit
Khalid,2017-07-16,45,439547,Young Dumb & Broke
2 Chainz,2017-07-16,46,436335,It's A Vibe
Kendrick Lamar,2017-07-16,47,396098,LOYALTY. FEAT. RIHANNA.
Metro Boomin,2017-07-16,48,392489,No Complaints
Camila Cabello,2017-07-16,49,388634,Crying in the Club
Luis Fonsi,2017-07-16,50,359233,Despacito (Featuring Daddy Yankee)
21 Savage,2017-07-16,51,349757,Numb
The Chainsmokers,2017-07-16,52,338529,Something Just Like This
SZA,2017-07-16,53,322832,Love Galore
Kodak Black,2017-07-16,54,318422,Tunnel Vision
Major Lazer,2017-07-16,55,317485,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)"
Playboi Carti,2017-07-16,56,313090,wokeuplikethis*
Big Sean,2017-07-16,57,310258,Bounce Back
Drake,2017-07-16,58,308439,Portland
blackbear,2017-07-16,59,304997,do re mi
Martin Garrix,2017-07-16,60,303459,There for You
Kygo,2017-07-16,61,297527,It Ain't Me (with Selena Gomez)
Migos,2017-07-16,62,293613,T-Shirt
French Montana,2017-07-16,63,292171,A Lie
Rae Sremmurd,2017-07-16,64,287481,Swang
Migos,2017-07-16,65,286431,Bad and Boujee (feat. Lil Uzi Vert)
Julia Michaels,2017-07-16,66,285703,Issues
The Chainsmokers,2017-07-16,67,285177,Closer
Hailee Steinfeld,2017-07-16,68,284537,Most Girls
Axwell /\ Ingrosso,2017-07-16,69,280598,More Than You Know
James Arthur,2017-07-16,70,279508,Say You Won't Let Go
XXXTENTACION,2017-07-16,71,277525,Look At Me!
Miley Cyrus,2017-07-16,72,276101,Malibu
Jason Derulo,2017-07-16,73,273024,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
Kendrick Lamar,2017-07-16,74,270562,ELEMENT.
Thomas Rhett,2017-07-16,75,268492,Craving You
Fifth Harmony,2017-07-16,76,267139,Down
Portugal. The Man,2017-07-16,77,265805,Feel It Still
Jonas Blue,2017-07-16,78,265260,Mama
Drake,2017-07-16,79,259427,Fake Love
Dua Lipa,2017-07-16,80,258345,New Rules
Ayo & Teo,2017-07-16,81,256491,Rolex
Tee Grizzley,2017-07-16,82,255903,First Day Out
Gucci Mane,2017-07-16,83,254062,Met Gala (feat. Offset)
Maluma,2017-07-16,84,252835,Felices los 4
The Weeknd,2017-07-16,85,249903,Starboy
DRAM,2017-07-16,86,247554,Broccoli (feat. Lil Yachty)
Maggie Lindemann,2017-07-16,87,246400,Pretty Girl - Cheat Codes X CADE Remix
Zedd,2017-07-16,88,241956,Get Low (with Liam Payne)
Drake,2017-07-16,89,239813,One Dance
Drake,2017-07-16,90,234869,Gyalchester
Rita Ora,2017-07-16,91,234351,Your Song
Chance The Rapper,2017-07-16,92,233612,No Problem (feat. Lil Wayne & 2 Chainz)
Cheat Codes,2017-07-16,93,224139,No Promises (feat. Demi Lovato)
Lil Uzi Vert,2017-07-16,94,221538,Money Longer
Post Malone,2017-07-16,95,221399,White Iverson
Young Thug,2017-07-16,96,221119,pick up the phone
Travis Scott,2017-07-16,97,217460,beibs in the trap
Aminé,2017-07-16,98,216231,Caroline
Russ,2017-07-16,99,215291,Losin Control
Luke Combs,2017-07-16,100,215232,Hurricane
YFN Lucci,2017-07-16,101,213737,Everyday We Lit (feat. PnB Rock)
21 Savage,2017-07-16,102,213608,X (feat. Future)
Lana Del Rey,2017-07-16,103,213540,Summer Bummer (feat. A$AP Rocky & Playboi Carti)
Post Malone,2017-07-16,104,212595,Go Flex
Yo Gotti,2017-07-16,105,209714,Rake It Up
ZAYN,2017-07-16,106,205181,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
J. Cole,2017-07-16,107,202888,No Role Modelz
Imagine Dragons,2017-07-16,108,201962,Whatever It Takes
J. Cole,2017-07-16,109,201961,Neighbors
Young Thug,2017-07-16,110,201338,Relationship (feat. Future)
6LACK,2017-07-16,111,200461,PRBLMS
Dustin Lynch,2017-07-16,112,200219,Small Town Boy
Bruno Mars,2017-07-16,113,198332,24K Magic
Wisin,2017-07-16,114,194642,Escápate Conmigo
Lil Uzi Vert,2017-07-16,115,193748,You Was Right
Russ,2017-07-16,116,192654,What They Want
PnB Rock,2017-07-16,117,192492,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)"
The Weeknd,2017-07-16,118,191849,I Feel It Coming
Kane Brown,2017-07-16,119,189702,What Ifs
Harry Styles,2017-07-16,120,189410,Sign of the Times
Post Malone,2017-07-16,121,188806,Candy Paint
Big Sean,2017-07-16,122,183839,Jump Out The Window
The Chainsmokers,2017-07-16,123,183603,Paris
21 Savage,2017-07-16,124,182371,Bad Business
Brett Young,2017-07-16,125,182364,In Case You Didn't Know
Smokepurpp,2017-07-16,126,181354,Audi.
The Chainsmokers,2017-07-16,127,181187,Don't Let Me Down
Lorde,2017-07-16,128,181169,Homemade Dynamite
Future,2017-07-16,129,181058,Low Life
Lil Pump,2017-07-16,130,178848,Flex Like Ouu
Rae Sremmurd,2017-07-16,131,178137,Black Beatles
Ed Sheeran,2017-07-16,132,177777,Castle on the Hill
Logic,2017-07-16,133,175355,Everybody
21 Savage,2017-07-16,134,175345,Famous
The Weeknd,2017-07-16,135,174218,Reminder
21 Savage,2017-07-16,136,173154,No Heart
OneRepublic,2017-07-16,137,173103,No Vacancy
Clean Bandit,2017-07-16,138,171891,Symphony (feat. Zara Larsson)
NAV,2017-07-16,139,171793,Myself
Tee Grizzley,2017-07-16,140,171623,From The D To The A (feat. Lil Yachty)
Big Sean,2017-07-16,141,171216,Moves
Hailee Steinfeld,2017-07-16,142,170778,Starving
Mike WiLL Made-It,2017-07-16,143,169069,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)"
Future,2017-07-16,144,168632,Selfish
"Tyler, The Creator",2017-07-16,145,168541,Who Dat Boy
Bryson Tiller,2017-07-16,146,167218,Don't
6LACK,2017-07-16,147,166156,Ex Calling
AJR,2017-07-16,148,164939,Weak
Khalid,2017-07-16,149,164356,Saved
Rob $tone,2017-07-16,150,164090,Chill Bill
Bryson Tiller,2017-07-16,151,164086,Run Me Dry
2 Chainz,2017-07-16,152,163693,Good Drank
Moon Taxi,2017-07-16,153,162126,Two High
A$AP Mob,2017-07-16,154,161558,RAF
Chris Jeday,2017-07-16,155,161126,Ahora Dice
French Montana,2017-07-16,156,160945,Bring Dem Things
Ed Sheeran,2017-07-16,157,160784,Galway Girl
PnB Rock,2017-07-16,158,160654,Selfish
Bryson Tiller,2017-07-16,159,160578,Exchange
MadeinTYO,2017-07-16,160,160236,Skateboard P (feat. Big Sean)
NAV,2017-07-16,161,159855,Some Way
Dylan Scott,2017-07-16,162,159816,My Girl
NAV,2017-07-16,163,159640,Up
Jon Pardi,2017-07-16,164,158725,Heartache On The Dance Floor
Lord Huron,2017-07-16,165,157931,The Night We Met
Kesha,2017-07-16,166,157097,Woman
Alessia Cara,2017-07-16,167,156566,"How Far I'll Go - From ""Moana"""
Florida Georgia Line,2017-07-16,168,155652,H.O.L.Y.
Justin Timberlake,2017-07-16,169,154594,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
Gucci Mane,2017-07-16,170,154245,Both (feat. Drake)
Auli'i Cravalho,2017-07-16,171,153330,How Far I'll Go
Rihanna,2017-07-16,172,153293,Love On The Brain
Future,2017-07-16,173,153246,Extra Luv
Lady Gaga,2017-07-16,174,153045,The Cure
LANY,2017-07-16,175,153026,Super Far
Khalid,2017-07-16,176,152063,8TEEN
Loote,2017-07-16,177,151994,High Without Your Love
Twenty One Pilots,2017-07-16,178,150437,Ride
Nebu Kiniza,2017-07-16,179,149591,Gassed Up
Childish Gambino,2017-07-16,180,149316,V. 3005
Migos,2017-07-16,181,149011,Get Right Witcha
Trey Songz,2017-07-16,182,148646,Nobody Else But You
Thomas Rhett,2017-07-16,183,148628,Die A Happy Man
Kendrick Lamar,2017-07-16,184,148411,XXX. FEAT. U2.
Keith Urban,2017-07-16,185,148337,The Fighter
Twenty One Pilots,2017-07-16,186,148317,Heathens
Eminem,2017-07-16,187,148185,'Till I Collapse
Old Dominion,2017-07-16,188,148008,No Such Thing as a Broken Heart
Desiigner,2017-07-16,189,147125,Panda
Post Malone,2017-07-16,190,146824,Congratulations - Remix
A Boogie Wit da Hoodie,2017-07-16,191,146686,My Shit
Future,2017-07-16,192,145191,Mask Off - Remix
21 Savage,2017-07-16,193,144997,FaceTime
Lil Uzi Vert,2017-07-16,194,144810,Erase Your Social
Gucci Mane,2017-07-16,195,143941,Tone it Down (feat. Chris Brown)
Shawn Hook,2017-07-16,196,143661,Reminding Me
Lil Uzi Vert,2017-07-16,197,143271,Do What I Want
Machine Gun Kelly,2017-07-16,198,143048,Trap Paris (feat. Quavo & Ty Dolla $ign)
Josh Turner,2017-07-16,199,142107,Hometown Girl
Danny Ocean,2017-07-16,200,141941,Me Rehúso
Luis Fonsi,2017-07-17,1,1331428,Despacito - Remix
Lil Uzi Vert,2017-07-17,2,1281168,XO TOUR Llif3
DJ Khaled,2017-07-17,3,1277614,Wild Thoughts
French Montana,2017-07-17,4,1229347,Unforgettable
DJ Khaled,2017-07-17,5,1091025,I'm the One
Kendrick Lamar,2017-07-17,6,1050126,HUMBLE.
Selena Gomez,2017-07-17,7,968810,Fetish (feat. Gucci Mane)
Post Malone,2017-07-17,8,912948,Congratulations
Calvin Harris,2017-07-17,9,774171,Feels
Childish Gambino,2017-07-17,10,770621,Redbone
Khalid,2017-07-17,11,758060,Location
Travis Scott,2017-07-17,12,733769,Butterfly Effect
Liam Payne,2017-07-17,13,722740,Strip That Down
Demi Lovato,2017-07-17,14,722509,Sorry Not Sorry
Calvin Harris,2017-07-17,15,711054,Slide
Kendrick Lamar,2017-07-17,16,696682,DNA.
David Guetta,2017-07-17,17,690719,2U (feat. Justin Bieber)
Charlie Puth,2017-07-17,18,690273,Attention
Sam Hunt,2017-07-17,19,678196,Body Like A Back Road
Imagine Dragons,2017-07-17,20,666691,Believer
Playboi Carti,2017-07-17,21,655199,Magnolia
Logic,2017-07-17,22,651688,1-800-273-8255
Drake,2017-07-17,23,648700,Signs
21 Savage,2017-07-17,24,646209,Bank Account
J Balvin,2017-07-17,25,631830,Mi Gente
Future,2017-07-17,26,621828,Mask Off
Travis Scott,2017-07-17,27,603542,goosebumps
Migos,2017-07-17,28,572010,Slippery (feat. Gucci Mane)
Niall Horan,2017-07-17,29,565530,Slow Hands
Calvin Harris,2017-07-17,30,563601,Rollin
Selena Gomez,2017-07-17,31,562517,Bad Liar
Bruno Mars,2017-07-17,32,551245,That's What I Like
Imagine Dragons,2017-07-17,33,550223,Thunder
Halsey,2017-07-17,34,540516,Now Or Never
